Name,Group,URL
bench-endpoint-0,0,
bench-endpoint-1,0,
bench-endpoint-2,0,
bench-endpoint-3,0,
bench-endpoint-4,0,
bench-endpoint-0,1,https://xw5co672m6.execute-api.eu-west-2.amazonaws.com/default
bench-endpoint-1,1,https://2szwlepb1j.execute-api.eu-west-2.amazonaws.com/default
bench-endpoint-2,1,https://q5boxdpf2d.execute-api.eu-west-2.amazonaws.com/default
bench-endpoint-3,1,https://hydwazqc6j.execute-api.eu-west-2.amazonaws.com/default
bench-endpoint-4,1,https://zcnmx4h9da.execute-api.eu-west-2.amazonaws.com/default
bench-endpoint-0,2,
bench-endpoint-1,2,
bench-endpoint-2,2,
bench-endpoint-3,2,
bench-endpoint-4,2,
bench-endpoint-0,3,
bench-endpoint-1,3,
bench-endpoint-2,3,
bench-endpoint-3,3,
bench-endpoint-4,3,
bench-endpoint-0,4,
bench-endpoint-1,4,
bench-endpoint-2,4,
bench-endpoint-3,4,
bench-endpoint-4,4,